latitude,longitude,act_1,act_2,act_3,act_4,act_5
-45.0321923,168.66099999999997,hotsprings,ziplining,tours,hanggliding,hiking
-37.814217600000006,144.9631608,ziplining,tours,beaches,massage,snorkeling
-36.852095,174.76318030000004,ziplining,beaches,tours,massage,hiking
-36.718805,142.22095086226386,ziplining,tours,horsebackriding,,
-35.14181285,150.39164649482632,ziplining,tours,beaches,horsebackriding,hot_air_balloons
-34.9281805,138.5999312,ziplining,tours,beaches,massage,hiking
-34.61341495,138.9385455169364,ziplining,tours,massage,hiking,hot_air_balloons
-34.6075682,-58.4370894,ziplining,tours,hiking,massage,sailing
-34.427808299999995,150.893054,ziplining,hanggliding,tours,beaches,massage
-33.953177600000004,115.0769369,ziplining,beaches,tours,massage,horsebackriding
-33.934444,18.869167,ziplining,,,,
-33.8698439,151.20828480000003,beaches,tours,ziplining,hiking,massage
-33.861166499999996,121.88851585854931,ziplining,beaches,hot_air_balloons,massage,tours
-33.4377756,-70.6504502,ziplining,tours,beaches,hiking,massage
-32.728465,151.9380100885447,ziplining,beaches,tours,massage,horsebackriding
-31.9558964,115.8605801,ziplining,beaches,tours,massage,hiking
-28.6483333,153.61777780000003,ziplining,hiking,beaches,massage,tours
-28.0402165,152.81060540815727,ziplining,beaches,hiking,tours,massage
-28.002373100000003,153.4145987,ziplining,beaches,massage,hiking,tours
-27.4689682,153.02349909999995,ziplining,massage,tours,beaches,hiking
-26.6544338,153.0933668,ziplining,sailing,beaches,tours,massage
-26.3181415,152.93140931825062,ziplining,tours,massage,beaches,horsebackriding
-23.5506507,-46.6333824,ziplining,tours,massage,hiking,beaches
-22.9110137,-43.2093727,beaches,ziplining,tours,hiking,massage
-22.29247155,114.1469586328106,ziplining,massage,snorkeling,beaches,tours
-20.310115,149.00672307352474,ziplining,hiking,tours,beaches,snorkeling
-19.1421421,146.83354856403196,ziplining,snorkeling,tours,massage,beaches
-16.9206657,145.7721854,ziplining,snorkeling,tours,sailing,massage
-16.4955455,-68.1336229,ziplining,,,,
-16.484598300000002,145.4636294,ziplining,snorkeling,hiking,tours,beaches
-12.0621065,-77.03652559999998,ziplining,,,,
-8.456018100000001,115.27038551191185,ziplining,,,,
1.2899174999999998,103.8519072,ziplining,beaches,massage,tours,hiking
3.1516964,101.6942371,ziplining,hot_air_balloons,hiking,massage,tours
10.7764772,106.70193799999998,ziplining,,,,
12.51756625,-69.98186415210564,ziplining,tours,beaches,snorkeling,
13.1500331,-59.52503050000001,ziplining,,,,
13.3617562,103.8590321,ziplining,,,,
13.7524938,100.4935089,ziplining,,,,
13.8250489,-60.975035999999996,ziplining,,,,
14.5948914,120.9782618,ziplining,massage,sailing,tours,beaches
15.2214956,145.73848569999996,ziplining,massage,tours,beaches,paddleboarding
17.0604663,-96.7253575,ziplining,beaches,tours,massage,hiking
17.223472100000002,-61.9554608,beaches,ziplining,,,
17.964098800000006,102.6133707,ziplining,,,,
18.185050699999998,-77.3947693,ziplining,,,,
18.788277800000003,98.9858802,ziplining,,,,
19.4326296,-99.1331785,tours,ziplining,massage,hiking,horsebackriding
20.169626800000003,-87.44979005748026,tours,snorkeling,beaches,sailing,ziplining
21.1617854,-86.8510468,tours,massage,snorkeling,ziplining,beaches
24.4538352,54.3774014,ziplining,,,,
25.0375198,121.5636796,massage,hiking,ziplining,hotsprings,tours
25.7741728,-80.19362,beaches,paddleboarding,snorkeling,sailing,horsebackriding
25.7929198,-80.1353006,beaches,paddleboarding,snorkeling,sailing,horsebackriding
27.7635302,-97.4033191,parasailing,ziplining,beaches,massage,tours
29.7589382,-95.3676974,hiking,horsebackriding,paddleboarding,tours,ziplining
29.9759983,-90.0782127,massage,paddleboarding,tours,hiking,ziplining
30.2711224,-87.68938259999999,snorkeling,ziplining,tours,massage,beaches
30.2711286,-97.7436995,paddleboarding,hiking,horsebackriding,hot_air_balloons,tours
32.0564572,-81.0951271,parasailing,massage,hiking,beaches,paddleboarding
32.7174202,-117.16277279999998,beaches,hiking,snorkeling,parasailing,hot_air_balloons
32.7762719,-96.7968559,hiking,tours,horsebackriding,massage,paddleboarding
33.448436699999995,-112.074141,horsebackriding,hiking,hot_air_balloons,tours,paddleboarding
33.4942189,-111.92601840000002,horsebackriding,hiking,hot_air_balloons,paddleboarding,tours
33.77217945,-116.49529769683984,paddleboarding,hot_air_balloons,hiking,horsebackriding,tours
34.0536909,-118.242766,parasailing,paddleboarding,sailing,hiking,beaches
34.244058700000004,-116.91018,hot_air_balloons,hiking,tours,paddleboarding,massage
34.6937569,135.5014539,hiking,ziplining,hotsprings,tours,massage
34.862942600000004,-111.8137097,hot_air_balloons,massage,hiking,ziplining,horsebackriding
35.021041,135.7556075,hiking,ziplining,hotsprings,tours,massage
35.60094979999999,-82.5540161,hiking,massage,tours,paddleboarding,ziplining
35.6812665,139.757653,tours,ziplining,hotsprings,massage,beaches
35.89898179999999,14.5136759,ziplining,,,,
36.1672559,-115.148516,paddleboarding,hiking,horsebackriding,tours,hot_air_balloons
36.508976,-4.8856199999999985,ziplining,beaches,tours,hiking,massage
36.7213028,-4.4216365999999985,ziplining,beaches,tours,hiking,horsebackriding
37.0162727,-7.9351771,ziplining,beaches,horsebackriding,tours,massage
37.2395367,-107.82158179169292,ziplining,tours,paddleboarding,massage,horsebackriding
37.3886303,-5.9953403,ziplining,massage,hiking,tours,horsebackriding
37.7790262,-122.419906,hot_air_balloons,beaches,hiking,paddleboarding,snorkeling
37.9374939,-107.812285,hotsprings,tours,ziplining,massage,paddleboarding
38.0464066,-84.4970393,tours,paddleboarding,massage,ziplining,horsebackriding
38.2971367,-122.2855293,hot_air_balloons,paddleboarding,hiking,tours,beaches
38.70775070000001,-9.1365919,tours,ziplining,massage,beaches,snorkeling
38.89503679999999,-77.0365427,paddleboarding,hiking,horsebackriding,massage,ziplining
38.9743901,1.4197463178515335,ziplining,hiking,beaches,sailing,tours
39.1911128,-106.8235606,hotsprings,ziplining,tours,horsebackriding,massage
39.4697065,-0.3763353,ziplining,beaches,tours,massage,parasailing
39.5695818,2.6500745,ziplining,beaches,paddleboarding,massage,hiking
40.4167047,-3.7035825,ziplining,tours,massage,beaches,hiking
40.6460921,-111.4979963,tours,massage,hiking,horsebackriding,ziplining
40.7127281,-74.0060152,sailing,beaches,hiking,paddleboarding,horsebackriding
40.8358846,14.2487679,tours,ziplining,beaches,hiking,massage
41.0091982,28.9662187,ziplining,tours,hiking,beaches,massage
41.1494512,-8.6107884,ziplining,tours,beaches,massage,horsebackriding
41.3828939,2.1774322,snorkeling,tours,massage,beaches,ziplining
41.87556160000001,-87.6244212,snorkeling,hiking,beaches,tours,horsebackriding
41.8933203,12.4829321,tours,ziplining,massage,beaches,hanggliding
42.3554334,-71.060511,snorkeling,beaches,tours,hiking,paddleboarding
43.10656029999999,-79.06390390000001,hiking,massage,tours,ziplining,beaches
43.17389195,16.556523494578517,beaches,ziplining,,,
43.2961743,5.3699525,beaches,ziplining,hiking,tours,massage
43.4832523,-1.5592776000000002,ziplining,tours,beaches,hiking,massage
43.5116383,16.4399659,beaches,ziplining,,,
43.6534733,-79.383961,tours,beaches,massage,ziplining,paddleboarding
43.7698712,11.2555757,tours,massage,ziplining,hiking,sailing
44.279621,-73.979874,ziplining,paddleboarding,tours,hiking,beaches
44.4654236,-72.6854695,tours,ziplining,massage,hiking,paddleboarding
44.841225,-0.5800364,ziplining,massage,tours,beaches,paddleboarding
44.9584528,6.8786855,ziplining,beaches,tours,hiking,massage
45.4208777,-75.6901106,ziplining,tours,massage,beaches,hiking
45.4371908,12.3345898,ziplining,tours,beaches,massage,horsebackriding
45.4641943,9.1896346,ziplining,massage,tours,horsebackriding,beaches
45.50318239999999,-73.5698065,tours,ziplining,massage,hiking,paddleboarding
45.5202471,-122.674194,hiking,snorkeling,paddleboarding,tours,hot_air_balloons
45.75781370000001,4.8320114,ziplining,massage,tours,sailing,hiking
46.2017559,6.1466014000000015,ziplining,tours,massage,beaches,paddleboarding
46.4978958,9.8392428,ziplining,hiking,tours,massage,horsebackriding
47.3744489,8.5410422,ziplining,hotsprings,tours,massage,beaches
47.7981346,13.0464806,tours,ziplining,hiking,hanggliding,beaches
48.1371079,11.575382199999998,tours,ziplining,massage,beaches,horsebackriding
48.2083537,16.372504199999998,ziplining,tours,massage,hiking,horsebackriding
48.7784485,9.1800132,ziplining,massage,tours,hotsprings,beaches
48.8534951,2.3483915,tours,massage,ziplining,beaches,hot_air_balloons
49.2608724,-123.113952,tours,hiking,beaches,massage,ziplining
49.5041747,-115.062867,ziplining,massage,tours,,
49.8879177,-119.495902,ziplining,tours,massage,beaches,paddleboarding
50.0619474,19.9368564,ziplining,beaches,hot_air_balloons,hiking,tours
50.0874654,14.4212535,tours,ziplining,massage,hiking,beaches
50.1106444,8.682091699999999,ziplining,massage,tours,beaches,sailing
50.67108245,-1.3328042802764226,ziplining,beaches,tours,massage,horsebackriding
50.8465573,4.351697,ziplining,massage,tours,hanggliding,beaches
50.938361,6.959974000000001,tours,massage,ziplining,beaches,hiking
51.0460954,-114.065465,ziplining,massage,tours,sailing,beaches
51.0493286,13.7381437,ziplining,tours,massage,beaches,hiking
51.08668970000001,-115.3481135,ziplining,hiking,tours,horsebackriding,massage
51.2254018,6.7763137,tours,beaches,massage,ziplining,hiking
51.45380220000001,-2.5972985,ziplining,tours,massage,hiking,beaches
51.5073359,-0.12765,tours,ziplining,massage,horsebackriding,hot_air_balloons
51.53882410000001,0.7128137,beaches,ziplining,tours,massage,horsebackriding
51.6195955,-3.9459248,ziplining,beaches,massage,hiking,horsebackriding
51.9244424,4.47775,ziplining,beaches,massage,tours,hiking
52.2319581,21.0067249,ziplining,hiking,beaches,massage,horsebackriding
52.3730796,4.892453400000001,tours,massage,ziplining,beaches,paddleboarding
52.3744779,9.738553199999998,ziplining,tours,massage,horsebackriding,beaches
52.5170365,13.388859900000002,tours,massage,beaches,ziplining,sailing
53.3498006,-6.2602964000000005,tours,massage,ziplining,beaches,hiking
53.40719910000001,-2.99168,ziplining,tours,beaches,massage,horsebackriding
53.4794892,-2.2451148,ziplining,massage,tours,horsebackriding,beaches
53.546205500000006,-113.491241,massage,ziplining,tours,beaches,snorkeling
53.550341,10.000654,tours,massage,beaches,ziplining,hiking
54.596391,-5.9301829,tours,ziplining,beaches,massage,sailing
54.97384739999999,-1.6131572,ziplining,beaches,massage,tours,horsebackriding
55.3997225,10.3852104,ziplining,beaches,horsebackriding,hiking,sailing
55.6867243,12.5700724,tours,ziplining,beaches,hiking,massage
55.86061820000001,-4.2497932999999986,ziplining,tours,massage,beaches,hiking
55.9533456,-3.1883749,tours,hiking,ziplining,massage,beaches
59.3251172,18.0710935,ziplining,tours,massage,beaches,horsebackriding
59.4372155,24.7453688,massage,,,,
59.9133301,10.7389701,ziplining,hiking,tours,beaches,massage
60.16748810000001,24.9427473,ziplining,beaches,massage,tours,paddleboarding
60.39430550000001,5.3259192,ziplining,hiking,tours,massage,horsebackriding
